"Date","CPT_pos","CPT_neg"
2012-11-01,0.0533896563819064,0.0080118549605196
2012-12-01,0.0589236986552578,0.0169678269270563
2013-01-01,0.0553800959312932,0.0265981489226275
2013-02-01,0.0403432491658892,0.0232501585348515
2013-03-01,0.0554939675428929,0.0145302207647804
2013-04-01,0.0466534940584456,0.0162469785976026
2013-05-01,0.0342748657683811,0.019408268532244
2013-06-01,0.0340011291881354,0.0254099553771131
2013-07-01,0.034678025901395,0.0374724221857734
2013-08-01,0.0333922444576078,0.0354456507458906
2013-09-01,0.0320361430320885,0.0313624997655562
2013-10-01,0.0282666014008085,0.0357019873240064
2013-11-01,0.0247029656246717,0.048068051826695
2013-12-01,0.0352996929281846,0.0123906296163372
2014-01-01,0.0450297730320695,-0.0212006886668183
2014-02-01,0.0489719856198637,-0.0139889084225944
2014-03-01,0.0547910186833684,-0.0201985571949859
2014-04-01,0.0466575268272109,-0.0231815700172081
2014-05-01,0.0263746754359206,0.015199912367793
2014-06-01,0.0429732216986822,0.0111189044872934
2014-07-01,0.0322733301542845,-0.0138701590837356
2014-08-01,0.0547289181981655,-0.011100234194404
2014-09-01,0.0503158700261023,0.00739341437520436
2014-10-01,0.0503353412240073,0.00765122424546444
2014-11-01,0.0248013984861448,0.0113256997822094
2014-12-01,0.030830245999515,-0.000712533924767608
2015-01-01,0.0204021520997194,-0.0105346894014481
2015-02-01,0.010820408463006,-0.00422332022416176
2015-03-01,0.0100007332801099,-0.0198792697220308
2015-04-01,0.00903870594427925,-0.0130138883629232
2015-05-01,0.0237027027868716,0.00600504246650361
2015-06-01,0.0240788697933443,0.0167807768023353
2015-07-01,0.0254622095485294,0.0029269415742831
2015-08-01,0.0220166233400193,0.00250137587451066
2015-09-01,0.0204236040728536,0.00422600801771434
2015-10-01,0.0168084878920622,0.00602365918632679
2015-11-01,0.0173486914966818,0.00700328009986424
2015-12-01,-0.026799751928825,0.00362773401801114
2016-01-01,-0.0576762957733882,0.000712133937454978
2016-02-01,-0.0161692245019758,0.0121803065134195
2016-03-01,-0.0208165771361503,0.0118350149732245
2016-04-01,0.00290003457611017,0.0113922012605291
2016-05-01,0.0405012003078919,0.00945515616743084
2016-06-01,0.0358011131790665,0.0108353529116975
2016-07-01,0.0348066283400304,0.00782236159474391
2016-08-01,0.0363521277737082,0.00341473684702821
2016-09-01,0.0380658905235785,-0.00487010074480472
2016-10-01,0.0424042234734051,-0.00276168790438792
2016-11-01,0.0311821968000702,-0.0161684895284914
2016-12-01,0.0341913830363463,-0.0144957996604989
2017-01-01,0.0278594835037256,-0.0215410112691394
2017-02-01,0.0267778391154773,-0.0210215409268966
2017-03-01,0.0271377388890356,-0.0214885780798017
2017-04-01,0.0207725551439548,-0.0232401416227082
2017-05-01,0.0327347969718626,-0.028793329882313
2017-06-01,0.032470254554104,-0.030454885556172
2017-07-01,0.0213919332749371,-0.0241399813488768
2017-08-01,0.0199108594138169,-0.0231122056473738
2017-09-01,0.0224624876449938,-0.0259411857597129
2017-10-01,0.0160831089720898,-0.0206264752479669
2017-11-01,0.020622599003192,-0.0188521602346408
2017-12-01,0.0310980885111208,-0.0212507099815369
2018-01-01,0.0346400460883116,-0.0132652387754872
2018-02-01,0.0417435123889667,-0.0263309035522513
2018-03-01,0.0429233104874249,-0.0263896508980421
2018-04-01,0.0439747631795216,-0.0306932603399636
2018-05-01,0.0483704850720518,-0.0333580336605204
2018-06-01,0.048934559313691,-0.0337403593389433
2018-07-01,0.0355072169052281,-0.0312891907011506
2018-08-01,0.0426252222710829,-0.0386704153974049
2018-09-01,0.0366724822731729,-0.0334122967777421
2018-10-01,0.0240209252780964,-0.0262730719798242
2018-11-01,0.0210578064168618,-0.0263099331686385
2018-12-01,0.0165446189042445,-0.0254207641069679
2019-01-01,0.00190737930462367,-0.0204589369483861
2019-02-01,0.00405109864827173,-0.0233235491281391
2019-03-01,-0.00751687349257685,-0.0161775074471813
2019-04-01,-0.0038089304428596,-0.0140532455950629
2019-05-01,-0.0040072945830789,-0.0140228444203093
2019-06-01,-0.00817620887540849,-0.012645056705475
2019-07-01,-0.000111968816640017,-0.0145970481647652
2019-08-01,0.000107923314527761,-0.0155814710711844
2019-09-01,-0.00256742410701835,-0.0144730244071812
2019-10-01,-0.00325190040666663,-0.0163425455724023
2019-11-01,-0.00639098045208139,-0.0157985960275805
2019-12-01,-0.0115998527834246,-0.00443057874680941
2020-01-01,-0.00464308423308157,-0.00896958808630761
2020-02-01,0.00636174632802325,-0.0160340302648872
2020-03-01,0.00425828049170121,-0.0197917179200017
2020-04-01,0.00747125303281482,-0.0413391332735812
2020-05-01,-0.00488780651856671,-0.0197727754931561
