"date","CPT_pos","CPT_neg","Asym_p"
2015-04-01,-0.0055132518629813,0.00275884705075285,0.880331340700645
2015-05-01,0.009636455863159,0.0236249745986124,0.818840686456259
2015-06-01,0.00920604517289451,0.0279747726985926,0.749324975065727
2015-07-01,0.00985994467669497,0.0146095987152763,0.937547204411908
2015-08-01,0.00316859784670448,0.0148790763938525,0.848459589241406
2015-09-01,-0.000898907396599362,0.0184562917980653,0.752899385793402
2015-10-01,-0.00615762890882874,0.0208872630272188,0.633857646595724
2015-11-01,-0.0068117295329931,0.0234186494745417,0.584875142536478
2015-12-01,-0.0258059623467325,0.0155122000967962,0.414756961942164
2016-01-01,-0.0465755398584616,0.00869150154436114,0.325367309022582
2016-02-01,-0.0116353979516966,0.0144346691090208,0.571162836247536
2016-03-01,-0.0147535540595619,0.0139862868269768,0.524837702999241
2016-04-01,0.00658230803169319,0.0119981331796718,0.911631841256317
2016-05-01,0.0326194588872603,0.0134451106145515,0.707054029122252
2016-06-01,0.0286843527700698,0.0145409989898876,0.782367984182205
2016-07-01,0.0273295039559189,0.0116009276574182,0.761699785878228
2016-08-01,0.0287097004223807,0.00768453925816406,0.672675872386213
2016-09-01,0.0357424842883222,-0.00646023459033968,0.365969010588736
2016-10-01,0.0413285445050972,-0.00698025583348526,0.25314605676568
2016-11-01,0.0370898277145578,-0.020092214886937,0.212102236711908
2016-12-01,0.0447385136772332,-0.0197625476663491,0.136824759870187
2017-01-01,0.0385369437963005,-0.0279695815071679,0.139581353820268
2017-02-01,0.0372131341995013,-0.0269130341753874,0.151570527775357
2017-03-01,0.040460816405358,-0.0297209843247631,0.119223561513575
2017-04-01,0.0362291648141584,-0.0319388219898544,0.107014082556748
2017-05-01,0.0387898999638243,-0.0342643400496703,0.0613018676240004
2017-06-01,0.0373205604401569,-0.0343125853402851,0.0704329650076993
2017-07-01,0.0284511934312906,-0.0287384439489297,0.149295718668423
2017-08-01,0.0287093793882872,-0.0294392009717085,0.113522662582368
2017-09-01,0.0292066118914844,-0.0326407302533514,0.0781560052479953
2017-10-01,0.0274010802357186,-0.0300269193162166,0.104866967230985
2017-11-01,0.0313886161758705,-0.0276026626156113,0.0838706813664377
2017-12-01,0.0377226955876962,-0.0266431355743165,0.0434554761157428
2018-01-01,0.0435126756692786,-0.017049150379503,0.0691516296377924
2018-02-01,0.0516583912619071,-0.0309116517356588,0.0145992616772372
2018-03-01,0.0507822812989933,-0.0300660837514803,0.0160634958821647
2018-04-01,0.0489254750913578,-0.0340320327136379,0.0137519583301713
2018-05-01,0.0493116044549573,-0.0356125667677926,0.0122202989526338
2018-06-01,0.0477949252029611,-0.0349488379373238,0.0129097945595621
2018-07-01,0.0486936776396358,-0.0365332679356985,0.0123055969654975
2018-08-01,0.0416786821529281,-0.039249663584658,0.0124581826231887
2018-09-01,0.0401199790244821,-0.0330308019265606,0.0194127640290891
2018-10-01,0.03235048643087,-0.0273002111522381,0.0472966019811686
2018-11-01,0.0167964398860818,-0.0230227865491121,0.159385170060405
2018-12-01,0.0171124778690706,-0.0222141285622593,0.117703620839994
2019-01-01,0.00957913143573114,-0.0211169688122731,0.305828112227074
2019-02-01,0.0108683784059197,-0.0248601591977834,0.220994472176004
2019-03-01,0.00285078651917754,-0.0206408842216724,0.438183430765994
2019-04-01,0.00461768543040087,-0.0175521198112015,0.468962188852052
2019-05-01,0.00211714354172055,-0.0169015580570288,0.549477181714957
